onset	duration	trial_type	value	sample
381.7102	0.0	trigger	1	1908551
381.7728	0.0	missing_trigger	6	1908864
381.7728	0.0	trigger	1	1908864
381.8352	0.0	missing_trigger	6	1909176
381.8352	0.0	trigger	1	1909176
381.8976	0.0	missing_trigger	6	1909488
381.8976	0.0	trigger	1	1909488
381.9608	0.0	trigger	1	1909804
381.9608	0.0002	Response/R128	3	1909804
382.0232	0.0	missing_trigger	6	1910116
382.0232	0.0	trigger	1	1910116
382.0858	0.0	missing_trigger	6	1910429
382.0858	0.0	trigger	1	1910429
382.1482	0.0	missing_trigger	6	1910741
382.1482	0.0	trigger	1	1910741
382.2108	0.0	missing_trigger	6	1911054
382.2108	0.0	trigger	1	1911054
382.2732	0.0	missing_trigger	6	1911366
382.2732	0.0	trigger	1	1911366
382.3356	0.0	missing_trigger	6	1911678
382.3356	0.0	trigger	1	1911678
382.3982	0.0	missing_trigger	6	1911991
382.3982	0.0	trigger	1	1911991
382.4606	0.0	missing_trigger	6	1912303
382.4606	0.0	trigger	1	1912303
382.5232	0.0	missing_trigger	6	1912616
382.5232	0.0	trigger	1	1912616
382.5856	0.0	missing_trigger	6	1912928
382.5856	0.0	trigger	1	1912928
382.648	0.0	missing_trigger	6	1913240
382.648	0.0	trigger	1	1913240
382.7106	0.0	missing_trigger	6	1913553
382.7106	0.0	trigger	1	1913553
382.773	0.0	missing_trigger	6	1913865
382.773	0.0	trigger	1	1913865
382.8356	0.0	missing_trigger	6	1914178
382.8356	0.0	trigger	1	1914178
382.898	0.0	missing_trigger	6	1914490
382.898	0.0	trigger	1	1914490
382.9604	0.0	missing_trigger	6	1914802
382.9604	0.0	trigger	1	1914802
383.023	0.0	missing_trigger	6	1915115
383.023	0.0	trigger	1	1915115
383.0854	0.0	missing_trigger	6	1915427
383.0854	0.0	trigger	1	1915427
383.148	0.0	missing_trigger	6	1915740
383.148	0.0	trigger	1	1915740
383.2104	0.0	missing_trigger	6	1916052
383.2104	0.0	trigger	1	1916052
383.2728	0.0	missing_trigger	6	1916364
383.2728	0.0	trigger	1	1916364
383.3354	0.0	missing_trigger	6	1916677
383.3354	0.0	trigger	1	1916677
383.3978	0.0	missing_trigger	6	1916989
383.3978	0.0	trigger	1	1916989
383.4604	0.0	missing_trigger	6	1917302
383.4604	0.0	trigger	1	1917302
383.5228	0.0	missing_trigger	6	1917614
383.5228	0.0	trigger	1	1917614
383.5852	0.0	missing_trigger	6	1917926
383.5852	0.0	trigger	1	1917926
383.6478	0.0	missing_trigger	6	1918239
383.6478	0.0	trigger	1	1918239
383.7102	0.0	missing_trigger	6	1918551
383.7102	0.0	trigger	1	1918551
383.7728	0.0	missing_trigger	6	1918864
383.7728	0.0	trigger	1	1918864
383.8352	0.0	missing_trigger	6	1919176
383.8352	0.0	trigger	1	1919176
383.8976	0.0	missing_trigger	6	1919488
383.8976	0.0	trigger	1	1919488
383.9608	0.0	trigger	1	1919804
383.9608	0.0002	Response/R128	3	1919804
384.0232	0.0	missing_trigger	6	1920116
384.0232	0.0	trigger	1	1920116
384.0858	0.0	missing_trigger	6	1920429
384.0858	0.0	trigger	1	1920429
384.1482	0.0	missing_trigger	6	1920741
384.1482	0.0	trigger	1	1920741
384.2108	0.0	missing_trigger	6	1921054
384.2108	0.0	trigger	1	1921054
384.2732	0.0	missing_trigger	6	1921366
384.2732	0.0	trigger	1	1921366
384.3356	0.0	missing_trigger	6	1921678
384.3356	0.0	trigger	1	1921678
384.3982	0.0	missing_trigger	6	1921991
384.3982	0.0	trigger	1	1921991
384.4606	0.0	missing_trigger	6	1922303
384.4606	0.0	trigger	1	1922303
384.5232	0.0	missing_trigger	6	1922616
384.5232	0.0	trigger	1	1922616
384.5856	0.0	missing_trigger	6	1922928
384.5856	0.0	trigger	1	1922928
384.648	0.0	missing_trigger	6	1923240
384.648	0.0	trigger	1	1923240
384.7106	0.0	missing_trigger	6	1923553
384.7106	0.0	trigger	1	1923553
384.773	0.0	missing_trigger	6	1923865
384.773	0.0	trigger	1	1923865
384.8356	0.0	missing_trigger	6	1924178
384.8356	0.0	trigger	1	1924178
384.898	0.0	missing_trigger	6	1924490
384.898	0.0	trigger	1	1924490
384.9604	0.0	missing_trigger	6	1924802
384.9604	0.0	trigger	1	1924802
385.023	0.0	missing_trigger	6	1925115
385.023	0.0	trigger	1	1925115
385.0854	0.0	missing_trigger	6	1925427
385.0854	0.0	trigger	1	1925427
385.148	0.0	missing_trigger	6	1925740
385.148	0.0	trigger	1	1925740
385.2104	0.0	missing_trigger	6	1926052
385.2104	0.0	trigger	1	1926052
385.2728	0.0	missing_trigger	6	1926364
385.2728	0.0	trigger	1	1926364
385.3354	0.0	missing_trigger	6	1926677
